mean_tmd_gap	tmd_negative_fraction_std	n_tmd	loc_er	has_WT_lost
18.818181818181817	0.0131612094855373	12	0	0
18.818181818181817	0.0131612094855373	12	0	0
19.0	0.0131612094855373	12	0	0
18.90909090909091	0.0131612094855373	12	0	0
20.09090909090909	0.0131612094855373	12	0	0
18.90909090909091	0.0131612094855373	12	0	0
18.90909090909091	0.0131612094855373	12	0	0
18.90909090909091	0.0131612094855373	12	0	0
18.636363636363637	0.0	12	0	0
18.818181818181817	0.0131612094855373	12	0	0
18.818181818181817	0.0199658307939711	12	0	0
18.818181818181817	0.0223931530748441	12	0	0
18.818181818181817	0.0131612094855373	12	0	0
18.818181818181817	0.0131612094855373	12	0	0
18.90909090909091	0.0131612094855373	12	0	0
19.0	0.0131612094855373	12	0	0
